Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2015,1,1,0,0,0,0,0,0,0,0,1,-8,124.05,0,0.109,2.7,73.23,-4,1010
2015,1,1,1,0,0,0,0,0,0,0,1,-8,135.13,0,0.109,2.7,70.66,-4,1010
2015,1,1,2,0,0,0,0,0,0,0,1,-8,145.8,0,0.109,2.9,74.69,-5,1010
2015,1,1,3,0,0,0,0,0,0,0,4,-8,155.1,0,0.109,3.2,69.42,-4,1010
2015,1,1,4,0,0,0,0,0,0,0,4,-8,160.58,0,0.109,3.5,69.79,-4,1010
2015,1,1,5,0,0,0,0,0,0,0,4,-8,158.87,0,0.109,3.6,71.31,-4,1010
2015,1,1,6,0,0,0,0,0,0,0,7,-7,151.26,0,0.109,3.6,74.81,-4,1010
2015,1,1,7,0,0,0,0,0,0,0,4,-7,141.16,0,0.109,3.7,75.95,-4,1010
2015,1,1,8,0,0,0,0,0,0,0,4,-7,130.23,0,0.109,4,76.67,-4,1010
2015,1,1,9,0,0,0,0,0,0,0,4,-7,119.13,0,0.109,4.2,77.09,-4,1010
2015,1,1,10,0,0,0,0,0,0,0,1,-7,108.2,0,0.109,4.4,76.25,-4,1010
2015,1,1,11,0,0,0,0,0,0,0,4,-7,97.72,0,0.109,4.4,75.79,-4,1010
2015,1,1,12,0,15,243,23,15,243,23,1,-7,88,0,0.109,4.2,75.36,-4,1010
2015,1,1,13,0,45,634,162,45,634,162,0,-7,79.41,0,0.109,4,69.68,-3,1010
2015,1,1,14,0,60,781,297,60,781,297,0,-8,72.39,0,0.109,4,58.34,-1,1010
2015,1,1,15,0,66,852,393,66,852,393,0,-8,67.5,0,0.109,4,56.85,-1,1010
2015,1,1,16,0,69,877,436,69,877,436,0,-8,65.23,0,0.109,4,53.28,0,1010
2015,1,1,17,0,69,868,424,69,868,424,0,-8,65.86,0,0.109,4.1,54.7,0,1010
2015,1,1,18,0,65,827,357,65,827,357,0,-7,69.32,0,0.109,4.2,56.8,0,1010
2015,1,1,19,0,56,726,241,56,726,241,0,-6,75.19,0,0.109,4.2,59.44,0,1010
2015,1,1,20,0,36,498,97,36,498,97,1,-6,82.95,0,0.109,4.3,62.9,0,1010
2015,1,1,21,0,0,0,0,0,0,0,0,-5,92.09,0,0.109,4.3,66.77,0,1010
2015,1,1,22,0,0,0,0,0,0,0,4,-4,102.17,0,0.109,4.1,70.16,0,1010
2015,1,1,23,0,0,0,0,0,0,0,7,-4,112.87,0,0.109,4,73.8,0,1010
2015,1,2,0,0,0,0,0,0,0,0,4,-3,123.91,0,0.109,4.1,77.39,0,1010
2015,1,2,1,0,0,0,0,0,0,0,1,-3,134.99,0,0.109,4.2,79.67,0,1010
2015,1,2,2,0,0,0,0,0,0,0,1,-2,145.66,0,0.109,4.1,81.15,0,1000
2015,1,2,3,0,0,0,0,0,0,0,4,-2,154.97,0,0.109,4,82.08,0,1000
2015,1,2,4,0,0,0,0,0,0,0,4,-2,160.48,0,0.109,4,82.7,0,1000
2015,1,2,5,0,0,0,0,0,0,0,4,-2,158.84,0,0.109,3.9,83.45,0,1000
2015,1,2,6,0,0,0,0,0,0,0,4,-2,151.27,0,0.109,3.8,84.08,0,1010
2015,1,2,7,0,0,0,0,0,0,0,4,-2,141.19,0,0.109,3.8,84.11,0,1010
2015,1,2,8,0,0,0,0,0,0,0,0,-2,130.27,0,0.109,3.9,89.67,-1,1010
2015,1,2,9,0,0,0,0,0,0,0,1,-2,119.16,0,0.109,3.9,88.93,-1,1010
2015,1,2,10,0,0,0,0,0,0,0,1,-2,108.23,0,0.109,3.9,87.66,-1,1010
2015,1,2,11,0,0,0,0,0,0,0,1,-2,97.74,0,0.109,3.9,80.75,0,1010
2015,1,2,12,0,16,175,22,16,175,22,1,-2,88.01,0,0.109,3.9,80.54,0,1010
2015,1,2,13,0,52,553,154,52,553,154,0,-2,79.4,0,0.109,4,81.72,0,1010
2015,1,2,14,0,71,710,286,71,710,286,0,-2,72.36,0,0.109,4.3,77.96,1,1010
2015,1,2,15,0,78,796,383,78,796,383,1,-2,67.45,0,0.109,4.7,73.46,2,1010
2015,1,2,16,0,181,184,259,84,812,426,4,-2,65.15,0,0.109,4.8,66.36,3,1010
2015,1,2,17,0,175,198,257,87,790,412,4,-2,65.76,0,0.109,4.6,65.17,3,1010
2015,1,2,18,0,151,156,207,70,792,352,4,-2,69.2,4,0.109,4.5,69.8,2,1010
2015,1,2,19,0,59,696,239,59,696,239,4,-2,75.06,4,0.109,4.2,70.05,2,1010
2015,1,2,20,0,37,487,98,37,487,98,0,-2,82.82,0,0.109,4.1,75.9,1,1010
2015,1,2,21,0,0,0,0,0,0,0,0,-2,91.95,0,0.109,4.1,81.9,0,1010
2015,1,2,22,0,0,0,0,0,0,0,0,-2,102.03,0,0.109,4.1,81.71,0,1020
2015,1,2,23,0,0,0,0,0,0,0,0,-2,112.73,0,0.109,4,80.47,0,1020
2015,1,3,0,0,0,0,0,0,0,0,0,-3,123.77,0,0.109,3.7,79.51,0,1020
2015,1,3,1,0,0,0,0,0,0,0,0,-3,134.85,0,0.109,3.5,78.61,0,1020
2015,1,3,2,0,0,0,0,0,0,0,0,-3,145.52,0,0.109,3.5,82.42,-1,1020
2015,1,3,3,0,0,0,0,0,0,0,1,-4,154.83,0,0.109,3.5,79.02,-1,1020
2015,1,3,4,0,0,0,0,0,0,0,7,-4,160.37,0,0.109,3.4,82.23,-2,1020
2015,1,3,5,0,0,0,0,0,0,0,7,-5,158.79,0,0.109,3.3,77.68,-2,1020
2015,1,3,6,0,0,0,0,0,0,0,7,-6,151.27,0,0.109,3.2,79.09,-3,1020
2015,1,3,7,0,0,0,0,0,0,0,7,-6,141.22,0,0.109,3.1,75.82,-3,1020
2015,1,3,8,0,0,0,0,0,0,0,7,-7,130.3,0,0.109,3,73.49,-3,1030
2015,1,3,9,0,0,0,0,0,0,0,7,-7,119.19,0,0.109,2.9,77.25,-4,1030
2015,1,3,10,0,0,0,0,0,0,0,7,-7,108.25,0,0.109,2.8,76,-4,1030
2015,1,3,11,0,0,0,0,0,0,0,7,-7,97.76,0,0.109,2.6,74.93,-4,1030
2015,1,3,12,0,18,0,18,15,250,24,7,-7,88.01,4,0.109,2.3,69.5,-3,1030
2015,1,3,13,0,62,284,114,44,626,159,7,-7,79.38,0,0.109,2,64.19,-2,1030
2015,1,3,14,0,95,435,227,59,765,291,7,-8,72.33,0,0.109,1.6,55.95,-1,1030
2015,1,3,15,0,163,161,225,69,814,382,6,-8,67.38,0,0.109,1.2,54.62,-1,1030
2015,1,3,16,0,158,16,165,73,832,424,6,-8,65.06,0,0.109,1.2,51.26,0,1030
2015,1,3,17,0,170,54,192,72,821,411,7,-8,65.65,0,0.109,1.4,53.48,0,1030
2015,1,3,18,0,99,0,99,70,762,342,6,-7,69.07,0,0.109,1.7,57.32,0,1030
2015,1,3,19,0,45,0,45,60,658,231,6,-6,74.93,0,0.109,2.1,63.43,0,1030
2015,1,3,20,0,15,0,15,38,429,93,6,-4,82.68,4,0.109,2.5,71.31,0,1030
2015,1,3,21,0,0,0,0,0,0,0,7,-3,91.8,0,0.109,2.9,78.29,0,1030
2015,1,3,22,0,0,0,0,0,0,0,7,-2,101.89,0,0.109,3.5,85.18,0,1030
2015,1,3,23,0,0,0,0,0,0,0,6,-1,112.59,0,0.109,4.3,91.4,0,1020
2015,1,4,0,0,0,0,0,0,0,0,6,0,123.63,0,0.109,4.8,96.47,0,1020
2015,1,4,1,0,0,0,0,0,0,0,6,0,134.71,0,0.109,5.1,100,0,1020
2015,1,4,2,0,0,0,0,0,0,0,6,0,145.38,0,0.109,5,99.58,1,1020
2015,1,4,3,0,0,0,0,0,0,0,6,1,154.69,0,0.109,4.7,98.66,1,1020
