Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2018,1,1,0,0,0,0,0,0,0,0,4,-14.4,124.01,0,0.87,4,88.71,-12.9,1019
2018,1,1,1,0,0,0,0,0,0,0,4,-14.6,135.09,0,0.87,4,89.11,-13.2,1019
2018,1,1,2,0,0,0,0,0,0,0,4,-14.8,145.76,0,0.87,4,90.29,-13.6,1019
2018,1,1,3,0,0,0,0,0,0,0,4,-15,155.06,0,0.87,3.9,92.63,-14.1,1019
2018,1,1,4,0,0,0,0,0,0,0,4,-15.2,160.54,0,0.87,3.9,94.46,-14.5,1019
2018,1,1,5,0,0,0,0,0,0,0,4,-15.4,158.86,0,0.87,3.8,95.89,-14.9,1019
2018,1,1,6,0,0,0,0,0,0,0,4,-15.6,151.26,0,0.87,3.7,97.65,-15.3,1020
2018,1,1,7,0,0,0,0,0,0,0,4,-15.7,141.18,0,0.87,3.7,98.63,-15.5,1020
2018,1,1,8,0,0,0,0,0,0,0,8,-15.8,130.26,0,0.87,3.7,99.44,-15.7,1020
2018,1,1,9,0,0,0,0,0,0,0,4,-15.9,119.15,0,0.87,3.8,100,-15.9,1020
2018,1,1,10,0,0,0,0,0,0,0,8,-16.1,108.22,0,0.87,3.8,100,-16.1,1021
2018,1,1,11,0,0,0,0,0,0,0,8,-16.2,97.74,0,0.87,3.8,100,-16.2,1021
2018,1,1,12,0,15,132,20,18,291,30,4,-16.1,87.71,71,0.87,3.9,98.27,-15.9,1021
2018,1,1,13,0,47,503,140,43,723,177,4,-16,79.33,100,0.87,4,92.41,-15,1022
2018,1,1,14,0,55,776,290,57,861,318,4,-15.8,72.35,0,0.87,4,85.34,-13.9,1022
2018,1,1,15,0,62,774,359,65,923,419,4,-15.6,67.46,0,0.87,4,79.52,-12.8,1021
2018,1,1,16,0,67,790,398,68,947,465,4,-15.3,65.19,0,0.87,4,74.45,-11.7,1020
2018,1,1,17,0,70,758,381,66,942,452,4,-15.1,65.81,0,0.87,4,72.04,-11,1020
2018,1,1,18,0,65,720,320,61,905,382,4,-14.8,69.25,0,0.87,4,71.15,-10.6,1020
2018,1,1,19,0,47,702,228,50,821,261,4,-14.6,75.1,57,0.87,4.1,72.79,-10.7,1020
2018,1,1,20,0,37,401,87,33,623,111,4,-14.5,82.79,100,0.87,4.1,76.9,-11.3,1020
2018,1,1,21,0,0,0,0,0,0,0,4,-14.5,92.05,0,0.87,4,82.34,-12.1,1021
2018,1,1,22,0,0,0,0,0,0,0,4,-14.6,102.13,0,0.87,4,85.9,-12.7,1022
2018,1,1,23,0,0,0,0,0,0,0,4,-14.7,112.84,0,0.87,4,87.23,-13,1022
2018,1,2,0,0,0,0,0,0,0,0,4,-14.7,123.87,0,0.87,3.8,90.6,-13.5,1022
2018,1,2,1,0,0,0,0,0,0,0,4,-14.7,134.95,0,0.87,3.7,91.76,-13.6,1022
2018,1,2,2,0,0,0,0,0,0,0,4,-14.5,145.62,0,0.87,3.5,93.64,-13.7,1022
2018,1,2,3,0,0,0,0,0,0,0,4,-14.4,154.93,0,0.87,3.4,94.38,-13.7,1021
2018,1,2,4,0,0,0,0,0,0,0,4,-14.2,160.44,0,0.87,3.2,94.99,-13.6,1021
2018,1,2,5,0,0,0,0,0,0,0,4,-14.1,158.82,0,0.87,2.9,95.59,-13.5,1020
2018,1,2,6,0,0,0,0,0,0,0,8,-13.8,151.27,0,0.87,2.9,94.88,-13.2,1020
2018,1,2,7,0,0,0,0,0,0,0,4,-13.6,141.21,0,0.87,2.9,93.67,-12.8,1020
2018,1,2,8,0,0,0,0,0,0,0,4,-13.3,130.29,0,0.87,3.1,93.83,-12.5,1020
2018,1,2,9,0,0,0,0,0,0,0,4,-13,119.18,0,0.87,3.2,95.37,-12.4,1021
2018,1,2,10,0,0,0,0,0,0,0,4,-12.9,108.25,0,0.87,3.3,97.12,-12.5,1021
2018,1,2,11,0,0,0,0,0,0,0,4,-13.1,97.76,0,0.87,3.5,97.01,-12.7,1022
2018,1,2,12,0,16,126,21,19,242,29,4,-13.5,87.72,71,0.87,3.6,92.71,-12.6,1023
2018,1,2,13,0,47,506,141,47,689,175,4,-14,79.32,100,0.87,3.6,85.86,-12.1,1023
2018,1,2,14,0,55,781,292,62,844,318,4,-14.5,72.31,0,0.87,3.5,77.18,-11.3,1023
2018,1,2,15,0,61,782,362,69,914,420,4,-14.8,67.4,0,0.87,3.2,70.35,-10.4,1023
2018,1,2,16,0,67,791,400,72,937,467,4,-14.7,65.1,0,0.87,3,65.45,-9.4,1022
2018,1,2,17,0,73,822,411,72,916,449,4,-14.3,65.71,0,0.87,2.9,63.04,-8.5,1021
2018,1,2,18,0,79,670,318,68,874,379,8,-13.5,69.13,0,0.87,2.9,63.46,-7.8,1021
2018,1,2,19,0,97,114,127,57,769,256,7,-12.6,74.97,57,0.87,2.8,67.09,-7.5,1021
2018,1,2,20,0,43,220,71,38,559,109,4,-11.6,82.66,100,0.87,2.7,75.21,-8,1021
2018,1,2,21,0,0,0,0,0,0,0,8,-11.1,91.91,0,0.87,2.7,82.24,-8.6,1021
2018,1,2,22,0,0,0,0,0,0,0,4,-10.7,101.99,0,0.87,2.8,85.56,-8.7,1021
2018,1,2,23,0,0,0,0,0,0,0,4,-10.3,112.7,0,0.87,2.9,87.99,-8.7,1021
2018,1,3,0,0,0,0,0,0,0,0,4,-10,123.73,0,0.87,3,89.77,-8.6,1020
