objective,num_leaves,n_estimators,max_depth,learning_rate,feature_fraction,mean_score,std_score
rmse,1350,200,10,0.036,0.2,0.8881135924264939,0.0034740182632604553
rmse,650,950,9,0.022,0.3,0.9069522792700673,0.003985384077197522
rmse,800,1350,4,0.042,0.4,0.8907755821612068,0.004305555597056321
rmse,450,700,7,0.044,0.6,0.9066902415400926,0.003775107266757824
mape,1450,200,12,0.038,0.1,0.831087080397531,0.0028506307363029607
rmse,300,600,9,0.024,0.4,0.905914838334785,0.003891890823136082
mae,1350,1150,-1,0.024,0.6,0.9058102933454103,0.005103350711783093
mape,1400,350,11,0.018,0.4,0.8869463211619759,0.0047849915540034834
rmse,750,1350,10,0.022,0.1,0.8890222347995388,0.0035957941350056185
mae,800,900,5,0.006,0.8,0.8557793432279001,0.0069083094944557355
mape,450,350,11,0.046,0.3,0.887698871367641,0.004486969643133162
rmse,200,300,12,0.034,0.2,0.8960502806043618,0.0031951773645312676
mape,1150,150,9,0.032,0.2,0.8548154636713693,0.005007366474550383
mape,1000,550,8,0.026,0.7,0.8839227978337473,0.005155025584909443
rmse,150,1250,7,0.02,0.8,0.9060335736667215,0.004214566057294022
mae,1400,150,7,0.038,0.1,0.8072240069130503,0.0031287973793369846
mape,1350,100,12,0.032,0.9,0.8752791029387843,0.004020259326531834
mape,900,1300,10,0.008,0.3,0.885819133040564,0.004950929644808466
rmse,1200,950,3,0.01,0.6,0.8506655019560094,0.006312795162180056
mape,1400,450,6,0.048,0.9,0.8740820600284925,0.00600280603630566
rmse,1450,1300,9,0.034,0.6,0.912952243434918,0.0033854830687759588
mape,1450,400,4,0.044,0.5,0.8560248320871515,0.00818159036463613
mape,1150,850,10,0.048,0.5,0.8938355170309052,0.004173061379113891
mape,300,1150,9,0.02,0.1,0.860350309690496,0.004271165027109829
rmse,1300,1000,12,0.044,0.2,0.9054685258178141,0.0026244219266436503
mape,1050,250,10,0.038,0.3,0.8834680433398279,0.004968672702332454
mape,1300,250,3,0.022,0.3,0.7957262486029104,0.00429704185658253
rmse,850,650,12,0.012,0.7,0.9069450445262216,0.004058152264941567
rmse,1050,300,12,0.018,0.6,0.9033527266024468,0.00430098184293486
mae,1100,700,-1,0.036,0.6,0.9059650788342855,0.0053562845787266476
mape,500,1250,3,0.018,0.1,0.805581050361055,0.003475477410461136
rmse,1400,500,6,0.012,0.5,0.8846771029243526,0.005585201791083731
mape,400,550,12,0.038,0.5,0.8939468747532123,0.004380227262741333
rmse,750,1350,-1,0.012,0.8,0.913653683031266,0.003984871766861449
mae,1350,400,8,0.022,0.6,0.8842841111835961,0.005694838497822221
mae,300,450,4,0.018,0.9,0.8486993561125844,0.008100119496289273
rmse,700,850,3,0.02,0.2,0.8523948438740525,0.005578742353057826
mae,850,700,3,0.042,0.7,0.8463424793111888,0.007627390183408416
mae,700,850,6,0.038,0.2,0.8718105934731322,0.006766882458094927
mae,1300,1150,4,0.044,0.3,0.8651972748673622,0.0068163828654157314
mae,1300,250,8,0.044,0.1,0.8465442797865625,0.003626490370849424
rmse,100,1000,7,0.042,0.9,0.9081622628225835,0.004183841406824151
mape,850,200,12,0.016,0.1,0.7588210283407723,0.004356626550671387
rmse,1300,150,7,0.02,0.8,0.8749917276544624,0.0056543097336719085
rmse,500,450,11,0.03,0.5,0.9093081115190952,0.004334963206709648
mae,150,400,12,0.036,0.8,0.8948535873133158,0.0050028685048569424
mae,600,1300,-1,0.012,0.7,0.9058206357048824,0.004822333908541114
mae,750,250,-1,0.044,0.1,0.8540924228411213,0.0045639084892383774
mape,1350,1400,4,0.042,0.3,0.8627459316788726,0.007239635981742832
mae,450,1450,9,0.006,0.7,0.8892311983810951,0.005395029547488662
mape,450,400,10,0.032,0.4,0.8889331124474611,0.004883740763061796
mae,450,850,9,0.012,0.4,0.8881511865285272,0.004834441266700118
mape,800,600,9,0.014,0.1,0.8346973410633949,0.003584292922059409
rmse,250,1450,-1,0.02,0.8,0.9160680874190712,0.00411832147666215
mape,1000,1100,11,0.012,0.6,0.8929703444246252,0.004894943401551863
mae,750,350,11,0.03,0.1,0.8520752350179459,0.003809888184068251
rmse,250,1150,4,0.006,0.7,0.8639224855411872,0.007484333288510553
rmse,550,100,7,0.004,0.1,0.27330885911778025,0.0014561900306135787
mape,400,900,7,0.04,0.8,0.8802193744733985,0.006960020376162179
mae,1050,350,9,0.046,0.3,0.8872084003358522,0.005609946752859231
mae,500,350,12,0.014,0.7,0.8940789574046872,0.004828575451913735
mape,150,1200,4,0.012,0.8,0.8547862860520405,0.007313170250274638
mape,850,150,8,0.042,0.4,0.877683309418382,0.005555658872049722
rmse,1050,1300,8,0.016,0.2,0.8994331240421094,0.0030328799329947366
rmse,900,550,5,0.048,0.2,0.8850999037974978,0.004616856956694797
mae,1450,350,7,0.044,0.6,0.880066242038958,0.0065663040921992615
rmse,750,1250,11,0.018,0.5,0.912170079886452,0.0036819824447138555
mape,950,1400,11,0.042,0.2,0.8850680771157863,0.004631007084231556
mae,1450,1150,4,0.026,0.1,0.8378988102206297,0.00549580419398975
mape,1150,1400,8,0.028,0.9,0.8863756329443614,0.005258877037357648
mae,100,600,5,0.024,0.5,0.8679195964471085,0.00713060892287058
rmse,1300,1450,7,0.02,0.3,0.9044460275362816,0.003891432751149649
rmse,1050,1200,7,0.038,0.3,0.9062049262335741,0.0032099013243894374
mape,450,1250,5,0.01,0.9,0.8633635012250316,0.0067072399537807595
mape,1350,450,11,0.012,0.7,0.8880226529281042,0.0052619822022973665
rmse,650,800,7,0.028,0.9,0.904529965851839,0.004535658651330615
rmse,1350,1350,9,0.026,0.8,0.9117800971878816,0.004096652863829315
mae,1150,900,8,0.02,0.8,0.8866466810567138,0.005896658429681904
mae,800,250,6,0.016,0.3,0.8487621842361959,0.004641362392593343
mape,1000,1050,7,0.028,0.4,0.8829173571830721,0.006397399683685202
mape,600,1050,7,0.034,0.3,0.882700166991595,0.005734195500444452
rmse,350,950,-1,0.046,0.6,0.914232534723459,0.003896770584042976
mae,1400,500,7,0.024,0.5,0.8802437540691739,0.00572671345800531
mape,1450,1350,8,0.042,0.2,0.8810645001126013,0.005392651176376075
mape,250,1350,6,0.042,0.4,0.8799937969546994,0.007231274987477742
rmse,1250,450,4,0.024,0.7,0.8710417985597898,0.006912059153652008
rmse,300,750,3,0.008,0.9,0.8372971211790122,0.007648294010670643
mape,1050,1300,12,0.006,0.1,0.8336774204834851,0.0037350013835379826
mae,650,200,3,0.032,0.6,0.821226140627233,0.004624799705176747
mae,400,1300,12,0.012,0.2,0.8849660421177132,0.004219906811154683
mae,1250,450,12,0.046,0.8,0.8990719770923463,0.005140981836510452
rmse,1150,1050,12,0.008,0.6,0.9078715464812656,0.003858068992472751
rmse,1300,1200,11,0.04,0.9,0.9114195485310665,0.0038173908516851976
mae,550,500,4,0.038,0.5,0.8587372730731151,0.00782840568498736
mae,450,1450,6,0.004,0.6,0.8686072230220756,0.00672912443558479
rmse,400,200,6,0.02,0.3,0.8694046258691784,0.004890043137573293
mape,1400,1350,10,0.022,0.1,0.8639566717433637,0.004091744320765778
mape,1250,1350,-1,0.038,0.7,0.9019724402287537,0.005021615696487198
mape,200,1200,-1,0.04,0.1,0.8663781158233416,0.004104194908800423
mae,150,250,3,0.042,0.2,0.8073682869281503,0.005527955621369935
mae,200,100,10,0.044,0.8,0.886840060940672,0.004514742946249948
mae,1100,450,-1,0.03,0.8,0.9043199229856154,0.005272523130848591
rmse,1350,100,8,0.024,0.4,0.8631847442873428,0.003942517559097258
mape,1000,350,-1,0.038,0.4,0.8948573465667881,0.003965418735096197
mape,200,950,6,0.014,0.8,0.8719285969595459,0.006842154186487282
mape,1100,100,3,0.024,0.9,0.7533907237030556,0.0024079490168271846
rmse,1450,1050,11,0.012,0.3,0.9073994174580476,0.0032593669387972614
mape,1150,700,12,0.032,0.5,0.8956362211356652,0.0038534810041931243
mape,700,650,3,0.004,0.6,0.7604742603426461,0.00392571297966713
mape,1150,500,3,0.036,0.8,0.8388408139980754,0.008436047355185243
rmse,400,350,7,0.024,0.5,0.8952480244718611,0.0053474537973867645
mae,1350,1350,7,0.018,0.7,0.8834448989225467,0.006212696519197249
mape,650,550,6,0.024,0.5,0.8732161039607855,0.006924894459709054
mae,350,450,11,0.028,0.5,0.8957346459383898,0.004769832637949546
rmse,1250,1350,11,0.008,0.9,0.9057956186860969,0.004449194863688001
mape,1150,1250,9,0.032,0.6,0.8920621673984909,0.004587605821059214
mae,300,150,9,0.008,0.1,0.5474438325192998,0.007394424110473891
mape,700,450,5,0.036,0.7,0.8663982196217508,0.007594133181015388
mape,600,600,7,0.02,0.5,0.8791233298367034,0.0059735749191649375
mae,200,1050,5,0.006,0.8,0.8585720570113297,0.007074926586655511
mae,1300,600,-1,0.044,0.5,0.9042700766665949,0.004850213535087064
rmse,100,1250,3,0.016,0.1,0.8406634363054006,0.0047465673419414016
mae,1050,100,12,0.046,0.8,0.8917872193613712,0.004757980377669911
mape,600,850,4,0.038,0.4,0.8612950323228901,0.006721823932891488
rmse,550,250,9,0.044,0.1,0.8712994018704567,0.003261750479840909
mape,1450,100,9,0.004,0.6,0.3501327477253571,0.005299087503567532
mape,1000,450,-1,0.02,0.6,0.896893828688056,0.004551004711900597
mae,150,200,4,0.034,0.6,0.8465371108900948,0.007511842652615395
rmse,1100,1050,5,0.034,0.6,0.8967350849580478,0.004967797077709295
mae,400,100,4,0.046,0.8,0.8367889785373535,0.006005898103504631
mae,750,900,3,0.024,0.5,0.8414948707284406,0.0073163276378312445
rmse,550,1250,10,0.01,0.2,0.8977143321069194,0.0035141472787579824
rmse,550,750,5,0.022,0.2,0.8791762992278171,0.004825766209572915
mape,600,700,-1,0.046,0.2,0.8831551078277634,0.004004258178350655
rmse,200,1450,10,0.026,0.9,0.9122221385255695,0.0038680968224329747
rmse,1350,350,7,0.034,0.4,0.8975080438401097,0.004924129733121897
rmse,1350,200,6,0.018,0.6,0.8722183564401783,0.006431267555491688
mape,1350,1350,7,0.034,0.7,0.8824031580792147,0.006497014987010752
mape,1400,100,11,0.008,0.1,0.38702369545520066,0.010063111629043749
mape,700,1300,10,0.02,0.8,0.89321990478852,0.004443495049195698
rmse,550,1150,6,0.02,0.4,0.8987383816049201,0.004427367954379911
mape,850,1000,6,0.046,0.7,0.877251869936747,0.007949319252473537
mape,1350,900,9,0.036,0.8,0.8893799155406759,0.005554320671250705
mae,150,700,8,0.01,0.8,0.8827299993859834,0.005640707288085426
mape,450,550,7,0.016,0.3,0.8745285452639472,0.005092708861181874
rmse,1200,350,4,0.01,0.2,0.8079242755298411,0.004424047983038059
mae,150,1000,9,0.016,0.7,0.891363639607238,0.005239901547515702
rmse,300,850,10,0.03,0.5,0.9114210699474486,0.004007082266210616
rmse,250,950,11,0.03,0.6,0.9125401768465344,0.003147379209388507
rmse,500,1400,10,0.026,0.2,0.9058153633934231,0.002933150137969448
rmse,900,300,10,0.008,0.9,0.8763640813594231,0.004466773108093544
mape,650,900,9,0.02,0.4,0.8888183543111537,0.0052720443653108085
rmse,750,800,7,0.006,0.3,0.8828070405168529,0.004824422170839922
mae,750,1300,3,0.042,0.7,0.8533186710891546,0.007872850801792187
mape,1400,250,5,0.026,0.6,0.8597174553175321,0.006888934775597867
mae,1050,700,10,0.01,0.8,0.8915825227861239,0.005524891841569933
rmse,400,1100,6,0.036,0.3,0.9025995632539383,0.003684040526977192
mae,550,750,-1,0.04,0.4,0.9030747193373868,0.004212294818051621
mae,200,450,10,0.022,0.6,0.8923669817143718,0.0054519313816296724
mae,200,950,-1,0.036,0.8,0.9034383852544494,0.0052500131813458945
mae,950,750,4,0.042,0.8,0.8616713740881392,0.008388371605894222
mae,1050,850,7,0.044,0.7,0.8838665196487918,0.005770335726330079
mape,150,1200,-1,0.006,0.7,0.8925552000104362,0.005078186415414131
mape,700,600,4,0.01,0.8,0.8450413321439251,0.007601991170986357
rmse,1150,1350,7,0.036,0.1,0.8923536276837951,0.003024870930464179
rmse,800,1000,9,0.024,0.9,0.9087782729542766,0.004417687589370364
rmse,850,850,4,0.006,0.7,0.8564031707265113,0.007534602705372189
rmse,800,950,6,0.006,0.8,0.8837669981018732,0.00665348530459486
rmse,100,950,12,0.026,0.9,0.9133588711094992,0.0038855729001129524
rmse,800,1400,4,0.038,0.2,0.8847743138824365,0.003860837506306554
mape,650,200,12,0.018,0.7,0.8804293081439346,0.0051848133340062375
mae,550,450,9,0.044,0.4,0.8901809042266876,0.0052970089789440185
mape,1450,1300,11,0.048,0.7,0.8975429468292637,0.004822459764110953
rmse,800,100,12,0.032,0.5,0.8909284432794258,0.005248801112413494
rmse,550,800,-1,0.004,0.4,0.8910685138354661,0.004273957080969041
rmse,500,1050,7,0.02,0.7,0.9049637246910396,0.00436434275400556
mape,1300,1250,8,0.006,0.5,0.8820848172567942,0.005147279238197571
rmse,750,200,10,0.018,0.1,0.8157071715628451,0.003221359698149016
rmse,900,1000,5,0.004,0.5,0.8647688504732178,0.0063851357287316
rmse,1400,1200,7,0.018,0.2,0.8965247922165256,0.002947731489348676
mae,150,500,4,0.048,0.9,0.8604538688724934,0.00783592722538019
mape,1350,1050,7,0.004,0.3,0.8597640488563063,0.004213730660055366
mape,700,900,7,0.032,0.7,0.8804549562158761,0.006765475186252661
mape,700,1000,6,0.006,0.6,0.8688064923509915,0.00643807050547273
mape,150,750,8,0.028,0.9,0.8845347250563884,0.005439607868346942
mape,1200,1300,9,0.044,0.1,0.8699547555857308,0.0038559661245624608
rmse,200,1250,7,0.008,0.6,0.8983490528826608,0.004989824956570399
rmse,1200,750,9,0.008,0.8,0.9000595678869371,0.004852656366060275
mae,950,1400,-1,0.01,0.8,0.9056921011074025,0.005243630110524689
mape,1100,1050,3,0.024,0.6,0.8442414146836438,0.007325086996878245
mape,450,350,10,0.048,0.3,0.8861175916073948,0.0037117329719548973
mape,800,1250,-1,0.04,0.4,0.9006892303272374,0.003820913368390712
mae,300,450,7,0.022,0.8,0.8780521439197413,0.006055603586737827
mae,200,1350,3,0.024,0.8,0.8473190579691272,0.007960651865017918
mae,300,1000,-1,0.014,0.5,0.9036256495547839,0.005330780212510076
mape,1300,850,6,0.044,0.1,0.8589146083159183,0.004757699338952044
mae,1300,750,8,0.014,0.3,0.8824692001214324,0.005236721714858808
mape,550,450,9,0.03,0.4,0.8872484966075331,0.005209257158088325
mae,350,600,11,0.012,0.2,0.8755474996855421,0.004065579742485323
mae,700,1150,5,0.022,0.9,0.8696012617007118,0.007331759003540691
mape,750,1400,-1,0.042,0.1,0.8645659322301404,0.003135958821455261
mape,1000,450,10,0.01,0.7,0.8841305631381675,0.005111093743233939
mae,100,350,12,0.04,0.6,0.8921679390692256,0.005464524018942538
rmse,1200,1100,10,0.014,0.3,0.9074444276917285,0.0031148648101930482
mae,200,300,11,0.042,0.9,0.8945970225571004,0.005903245473910672
rmse,950,1450,4,0.042,0.9,0.8922224929743352,0.005359285472064524
rmse,350,150,11,0.01,0.3,0.8074122048954244,0.0034878325128436475
mape,1400,100,6,0.03,0.3,0.8292247591967694,0.0032134861148307827
mae,1350,1100,5,0.034,0.1,0.8546506328941867,0.0065757217908735946
mape,1250,1250,3,0.022,0.5,0.8438835365763566,0.006930971011477966
mae,1000,1350,12,0.016,0.9,0.901168358506535,0.004750378505286808
rmse,800,200,-1,0.032,0.9,0.9054418616941455,0.004821138358337317
mape,1050,100,11,0.024,0.8,0.8565003622197298,0.004115056907371616
rmse,1400,600,3,0.006,0.1,0.7230658669501367,0.0027036156280055464
mape,1100,450,7,0.042,0.3,0.8781170366451643,0.00596305195239961
mae,700,1150,7,0.044,0.5,0.8866971981343501,0.005299549337751068
mae,700,950,6,0.038,0.1,0.8611601347201019,0.0045063894977696905
mae,850,750,-1,0.014,0.2,0.8850259591234166,0.004677936761043171
mae,100,1450,7,0.012,0.7,0.8818011625826414,0.0060563843281827515
mape,1300,200,10,0.01,0.4,0.8228319176800953,0.0024709875367378968
mae,100,100,6,0.028,0.7,0.8465601197505795,0.006257820522849964
mape,950,400,10,0.02,0.9,0.8888570582585538,0.004709430280660594
mae,800,600,11,0.018,0.6,0.8959882887314196,0.00517737193671927
mae,550,900,5,0.024,0.3,0.8683338096408433,0.0068762303162628385
mae,1050,350,4,0.04,0.4,0.8545031280385801,0.008148402835517045
mae,950,350,6,0.03,0.6,0.87221067606604,0.0067469812717741206
mae,1050,1050,11,0.026,0.1,0.8669086928277956,0.004404605081819914
rmse,750,1150,9,0.026,0.9,0.909743177954641,0.004312503676508749
mape,1350,500,3,0.046,0.9,0.8396992366843931,0.008791082102069867
rmse,950,600,6,0.018,0.9,0.892232233066506,0.005414826845019545
mape,600,100,6,0.004,0.5,0.32127645512658226,0.006514309767527228
mae,1350,850,11,0.012,0.7,0.8962368390534501,0.005313103024773477
rmse,1300,400,7,0.022,0.8,0.8964302298129487,0.005370716257359535
mae,900,1150,-1,0.038,0.7,0.906625612897884,0.005441080199478465
mape,1000,1050,-1,0.034,0.6,0.9027709477155242,0.004193116499772825
mae,1100,200,4,0.022,0.3,0.8122520023833447,0.0027793067716736855
rmse,950,1000,6,0.01,0.4,0.8908820918224147,0.00471138472150137
mape,1050,550,7,0.01,0.9,0.8732912521115412,0.006567490250505239
rmse,700,200,11,0.02,0.2,0.8746085751460473,0.00430344331074498
mae,1050,550,12,0.004,0.4,0.8540902506408375,0.0033006963782405392
mape,1000,250,3,0.038,0.4,0.8253758052172186,0.007663408165760881
mae,200,1400,10,0.008,0.4,0.8921830983443644,0.004977744298971237
mae,1300,850,6,0.03,0.3,0.8770891490809434,0.006694182292424011
mae,1150,950,6,0.044,0.6,0.8804791108563131,0.006873072765733993
rmse,600,650,3,0.032,0.6,0.8634622186833192,0.005360334507117626
mape,450,750,7,0.016,0.9,0.8779274714774311,0.006422704028361363
mape,650,1100,4,0.026,0.8,0.8602974505519432,0.007215414214933014
rmse,600,150,-1,0.006,0.9,0.7250655299297918,0.0024965634319234916
rmse,800,200,7,0.036,0.1,0.8524653046676054,0.003344791240014949
mae,1000,1450,10,0.048,0.4,0.8971710923080501,0.005218122763056605
mae,750,300,12,0.038,0.9,0.8960449494266789,0.005634888751715909
mape,300,1300,4,0.024,0.2,0.8545681167223107,0.00745591839293772
mape,200,300,11,0.028,0.4,0.8882208299915835,0.0041984195895144825
mae,550,550,3,0.008,0.1,0.6901824679099237,0.003056165598244274
mape,950,800,7,0.01,0.4,0.8759784191339591,0.005556066470698956
mape,1000,1050,7,0.02,0.5,0.8811574770080907,0.006056513872984539
rmse,1450,750,11,0.02,0.3,0.907376557945121,0.0035211199297312157
rmse,1150,500,7,0.028,0.6,0.9008536636518353,0.004569397558230806
mape,1100,1200,5,0.03,0.6,0.8704031978419045,0.006576943215243807
mae,350,1200,3,0.04,0.4,0.8518714867735983,0.008451693593476878
mae,850,650,12,0.03,0.9,0.8986882328038122,0.005504364726764169
mae,800,150,3,0.032,0.9,0.8065775413354201,0.007425361442338376
rmse,750,1200,3,0.042,0.9,0.8762364838382168,0.005802540056031765
mae,1000,950,3,0.012,0.5,0.8322734533036853,0.006572128904182596
rmse,550,700,10,0.01,0.8,0.9029998054594409,0.004448135712635308
mape,1450,550,5,0.016,0.1,0.8039902711418683,0.0026352409064041684
rmse,550,500,4,0.026,0.5,0.874101330388359,0.006028066989861897
mape,1050,1000,7,0.032,0.3,0.8813820836515979,0.0047334301991547425
rmse,650,200,4,0.042,0.6,0.8667330154294037,0.006408371360803467
rmse,150,600,-1,0.018,0.7,0.9128489040495708,0.0041233339307840755
rmse,550,700,-1,0.014,0.3,0.9095980174920375,0.0034409612898859162
mae,350,750,3,0.004,0.8,0.7792058379400195,0.0046201630455129945
mape,1250,650,9,0.018,0.2,0.8731409973049926,0.005111106873013937
rmse,600,850,5,0.042,0.1,0.878537605946996,0.0031639253740493997
mape,1150,550,11,0.024,0.7,0.8931763531892389,0.005554534864725561
mae,1250,800,-1,0.034,0.8,0.9050656127815822,0.005330661303492177
mae,1150,1100,3,0.04,0.7,0.8513234040315254,0.008115115459747687
rmse,300,250,8,0.02,0.4,0.8916729291208683,0.0045159074092088304
mape,1400,500,3,0.038,0.7,0.8409462596315271,0.007486117271702835
mape,200,450,7,0.03,0.8,0.877508087307674,0.006681223393751809
rmse,900,1050,7,0.04,0.9,0.9084742860637159,0.004414098226657817
mape,450,150,12,0.012,0.9,0.8221252392465475,0.002526596607239081
mae,550,1300,5,0.034,0.4,0.8753326573021721,0.007381953755184344
mae,550,700,12,0.034,0.3,0.8949176546604938,0.004500779706497195
mae,700,1200,-1,0.028,0.6,0.9066816008497591,0.005085581911736693
mape,300,150,11,0.012,0.1,0.6478474172216288,0.005286669229531208
mape,1400,1450,3,0.048,0.2,0.8499870270809101,0.007207122517669914
mape,550,1200,3,0.04,0.8,0.8482596721287132,0.00762679014133762
rmse,450,450,8,0.012,0.5,0.8954330965700474,0.00452626793000132
mae,650,700,8,0.026,0.5,0.8876267407962606,0.005472265913378654
rmse,1350,350,6,0.004,0.9,0.7841477404598851,0.00574579596363528
rmse,1100,600,3,0.042,0.8,0.8659557296512694,0.006635838182408952
mae,850,900,5,0.048,0.1,0.8552030939566668,0.005233949952968774
rmse,1100,850,8,0.036,0.9,0.9086109192182121,0.004045550117536018
rmse,650,1300,8,0.048,0.2,0.9050109310594551,0.0033924394992613897
mape,150,950,3,0.012,0.6,0.8331327739831744,0.006812647647445857
rmse,1150,800,9,0.042,0.8,0.9110611912564018,0.004172840714560591
rmse,850,1150,10,0.048,0.6,0.9137117021273671,0.0034114696675690928
rmse,600,1450,12,0.04,0.6,0.9144736809793252,0.0032677826000615316
mape,600,1450,5,0.01,0.3,0.8638781111841121,0.006758408437197367
mae,950,500,4,0.03,0.6,0.8572609324928167,0.0072052632408359475
mae,650,1350,3,0.006,0.8,0.8285455688715462,0.0067229259343258695
mae,1200,950,7,0.046,0.8,0.8846513586025306,0.0058488508719850745
mape,1350,200,-1,0.042,0.2,0.8704481165093867,0.0037350041631268737
mae,1350,1150,3,0.006,0.1,0.7404674527966345,0.002256562979055648
mape,1450,250,7,0.042,0.7,0.877111656845572,0.006138834988282995
rmse,1000,1000,5,0.03,0.7,0.8950892863720968,0.005323709092168711
mae,150,1450,6,0.012,0.1,0.8486652355689737,0.005061513956165346
rmse,300,400,5,0.038,0.3,0.8855097086808644,0.005214771588163106
mape,1300,750,5,0.014,0.1,0.813096073192823,0.0036114385687389607
rmse,300,250,6,0.048,0.3,0.8903579887529798,0.004355994059216634
rmse,450,500,6,0.022,0.9,0.892370014999033,0.00575093414693018
rmse,1400,1050,8,0.026,0.8,0.9092292205197827,0.0041284262604310675
mape,900,200,8,0.018,0.3,0.8583933997413348,0.0036784263968773698
mape,1400,900,12,0.012,0.6,0.893492610396143,0.004668549367118474
mape,600,1450,10,0.01,0.4,0.8907546521608547,0.0050822334840680845
mape,400,1050,-1,0.016,0.8,0.9027004755724991,0.004693400904714803
rmse,1400,550,10,0.024,0.6,0.9081270858360366,0.0034070397918081474
mae,850,700,9,0.026,0.8,0.8912053955906647,0.005726198118606248
mape,1200,300,3,0.004,0.1,0.38634433987078476,0.010948826438532233
rmse,1000,500,6,0.014,0.9,0.8863853560243107,0.006823851159916322
rmse,1150,1050,4,0.014,0.3,0.874136663554995,0.005003447329170885
mape,1200,450,9,0.044,0.3,0.8850834628152398,0.004363937917756075
rmse,900,750,11,0.014,0.9,0.9055205599745496,0.004320198988608091
mape,150,1100,4,0.046,0.4,0.8646378256220304,0.007263077947866949
mae,1450,100,7,0.032,0.8,0.8636869936310079,0.006132990211862506
mape,1000,1450,8,0.02,0.6,0.8866020348755381,0.0048345949215985624
mae,250,1050,7,0.022,0.9,0.8818012480074595,0.005587291488240888
mape,750,300,12,0.04,0.9,0.8931083526508286,0.004850666725971512
mae,1100,650,6,0.016,0.1,0.8286927551791549,0.004203277038946341
rmse,1400,1150,-1,0.024,0.7,0.91511387988508,0.003998679753867124
rmse,700,100,5,0.01,0.7,0.6888938316258297,0.004055696422016077
rmse,850,500,3,0.042,0.2,0.8570018348397165,0.005019503784354421
mae,650,100,11,0.034,0.7,0.8843556642532817,0.005186409013278306
mae,550,100,5,0.008,0.6,0.5620992987503308,0.002246828421941928
mae,1400,950,9,0.022,0.2,0.8814075375056083,0.0042254152063136595
rmse,1250,400,4,0.046,0.1,0.8548969103329451,0.004207610376410471
mape,450,500,5,0.014,0.9,0.8592208699759238,0.006731032199411628
mae,1400,1300,4,0.04,0.7,0.8657421386571381,0.007711718376118814
rmse,850,350,9,0.01,0.1,0.8102215021895625,0.0029010442274806296
mae,1400,1250,-1,0.018,0.6,0.906061428564401,0.005636358310169037
mae,650,650,10,0.044,0.8,0.8954755254264355,0.0056985815671705894
rmse,950,950,12,0.048,0.2,0.9054671302929994,0.003394970616675401
mae,1450,1350,5,0.006,0.6,0.8629133582089188,0.007586979277311452
mae,700,150,10,0.042,0.1,0.8327510795023828,0.003742589057431117
mape,350,1300,12,0.03,0.6,0.8983832434881411,0.004457686147900072
rmse,1050,1450,7,0.004,0.7,0.8918333467286718,0.005361961053993553
mae,850,850,-1,0.028,0.5,0.9052867971446439,0.0048047579899636655
mape,950,850,10,0.012,0.9,0.8897342373540829,0.005202117014518863
mae,1000,550,11,0.024,0.5,0.8963500021862263,0.004499565787613746
mae,1300,650,12,0.008,0.9,0.8940965322320238,0.00493277477830096
mape,1450,200,7,0.026,0.9,0.873057102559673,0.0060192002254074095
rmse,100,350,-1,0.04,0.3,0.906989360133517,0.0036616085373221935
rmse,250,350,-1,0.036,0.4,0.9114095234138039,0.0038587305640467333
mae,1250,1350,4,0.04,0.6,0.8661944945243409,0.0071158698909508196
rmse,1100,250,4,0.014,0.9,0.8383893931308128,0.00854860410967823
rmse,500,1200,9,0.04,0.1,0.8925701038776556,0.003623168565250486
rmse,350,500,10,0.034,0.9,0.9073716194317225,0.004501093933166025
rmse,400,150,-1,0.022,0.5,0.893941111766388,0.004651646601127089
mape,1300,1350,6,0.044,0.9,0.87626770102228,0.0065865982299424634
rmse,1300,850,3,0.024,0.9,0.8626603496555837,0.006900157300089974
mape,750,150,8,0.048,0.5,0.879035682499504,0.005573686079919222
rmse,850,750,8,0.044,0.7,0.9100681266506361,0.004076444349476527
rmse,400,400,6,0.03,0.3,0.8905450157268504,0.004516063800334286
mae,1250,450,5,0.028,0.1,0.8241355901699798,0.003971903741445192
mape,300,400,3,0.042,0.6,0.8384349525422445,0.006809037998559954
mape,250,350,10,0.028,0.1,0.8410533223956003,0.004124700777331445
mae,400,1200,12,0.016,0.7,0.9002906589236944,0.004552992606359371
mape,1350,400,7,0.006,0.8,0.8427500215428846,0.004465946895250199
mape,950,250,9,0.04,0.5,0.8850928983244215,0.0042610965455834315
mape,350,100,6,0.028,0.1,0.6988876081695745,0.004832149501502449
mae,450,1400,5,0.046,0.1,0.8609939958629479,0.005587643282511533
rmse,800,400,6,0.02,0.9,0.888636227231896,0.0059952672858177075
rmse,550,400,8,0.018,0.5,0.8982897030887385,0.004478141935164636
mae,550,450,12,0.008,0.5,0.887378676205968,0.004586879449292551
rmse,1050,1450,10,0.016,0.3,0.9098025737971442,0.0031253421749044756
mae,1400,800,10,0.014,0.4,0.8919707700170174,0.004767498965591286
mape,900,450,6,0.016,0.3,0.8655613108477253,0.005674076134997067
rmse,950,1000,10,0.022,0.1,0.8855017634596187,0.0036479438789559894
mae,1100,500,3,0.042,0.8,0.8418326079981622,0.007572145841659289
mape,300,400,12,0.01,0.8,0.8850411874665004,0.004770447310868243
mae,1300,1300,6,0.012,0.2,0.8662110800399059,0.005817565993700651
rmse,1400,150,-1,0.024,0.8,0.8959448257511758,0.0044223199904437705
mape,800,150,8,0.036,0.3,0.8723429952431322,0.005455031199765004
