objective,num_leaves,n_estimators,max_depth,learning_rate,feature_fraction,mean_score,std_score
rmse,550,1250,3,0.044,0.6,0.8768833312472993,0.005322319832482003
mae,550,850,6,0.048,0.3,0.8794674234858009,0.006096248749945302
mape,1400,450,3,0.022,0.5,0.8299212641011549,0.005892001645662671
mape,800,650,10,0.01,0.3,0.8828464515448106,0.004523732560964695
mae,1150,650,-1,0.034,0.9,0.9043189684963922,0.004601568019789891
mae,1350,150,4,0.022,0.3,0.7963207634327555,0.002993609670999176
rmse,300,1250,12,0.006,0.1,0.8639682874558556,0.003760283932462578
mae,450,700,11,0.004,0.5,0.8752777760735324,0.003969112107052078
mae,800,850,5,0.026,0.6,0.8708107154012533,0.007677200658886579
mae,550,950,4,0.028,0.3,0.858656596926777,0.007083888498881269
mape,850,800,5,0.038,0.4,0.8709878050563741,0.00733144218460889
rmse,1000,1400,10,0.046,0.3,0.9118640307627192,0.0038137634315010462
mape,300,450,7,0.016,0.8,0.8760841171434275,0.006621184860789841
mape,1050,850,4,0.046,0.3,0.8608063516404194,0.006650682871801097
mape,900,900,9,0.028,0.4,0.8899586857458592,0.005962027127253885
mae,250,800,11,0.004,0.9,0.8828378256422269,0.0044411850354870806
mape,1300,100,9,0.028,0.4,0.8575094098739904,0.004793091424446077
mae,1300,1300,5,0.038,0.4,0.8759819645564692,0.00738018275443259
rmse,1000,300,6,0.028,0.8,0.8895472372474039,0.006041852050856566
mae,500,700,-1,0.046,0.5,0.9043712103823076,0.005297151395870843
mape,800,1450,6,0.03,0.5,0.8781048088813831,0.006085358256745565
mae,200,550,-1,0.024,0.7,0.9002270634184719,0.004936954014052479
mape,400,1150,5,0.008,0.4,0.8630343001480704,0.006865958969359846
mape,850,1200,10,0.04,0.2,0.8830310605619376,0.0032014843026751684
mape,650,800,8,0.034,0.2,0.8765651434910968,0.005828783429870969
mape,1350,350,4,0.046,0.6,0.8566002106736837,0.008228335865409424
mae,200,1000,10,0.032,0.8,0.8963741000208842,0.006038528807142837
rmse,1000,300,6,0.01,0.4,0.8615358996502898,0.004879601327494071
mape,1150,450,12,0.016,0.7,0.8913744684279098,0.004969705072437622
