mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_objective,param_num_leaves,param_n_estimators,param_max_depth,param_learning_rate,param_feature_fraction,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
6.816778063774109,0.05052084304364853,2.3552021384239197,0.09845873916791477,mape,1050,1050,7,0.042,0.3,"{'objective': 'mape', 'num_leaves': 1050, 'n_estimators': 1050, 'max_depth': 7, 'learning_rate': 0.042, 'feature_fraction': 0.3}",0.8701096757284784,0.8834232477169381,0.8813625114912589,0.88252132833578,0.8793541908181138,0.005387077019830816,514
3.125893712043762,0.03987730150274192,0.2174234390258789,0.0340079723279738,mae,1350,300,7,0.014,0.8,"{'objective': 'mae', 'num_leaves': 1350, 'n_estimators': 300, 'max_depth': 7, 'learning_rate': 0.014, 'feature_fraction': 0.8}",0.8614972721572738,0.8752002341594932,0.8703022467103112,0.8752374625435305,0.8705593038926521,0.005603791120136156,632
6.581153512001038,0.19481136886644795,1.3890389800071716,0.10671910436939121,mae,950,900,7,0.016,0.9,"{'objective': 'mae', 'num_leaves': 950, 'n_estimators': 900, 'max_depth': 7, 'learning_rate': 0.016, 'feature_fraction': 0.9}",0.86976022710907,0.8853247513645218,0.8776574137771499,0.8834892135966768,0.8790579014618546,0.006068732344242512,520
1.4184589982032776,0.036285267776931134,0.09125512838363647,0.004702465051551924,mape,150,150,7,0.038,0.4,"{'objective': 'mape', 'num_leaves': 150, 'n_estimators': 150, 'max_depth': 7, 'learning_rate': 0.038, 'feature_fraction': 0.4}",0.8614539510067085,0.8731130046478964,0.8672655360927747,0.8724380652851766,0.8685676392581391,0.0046888318734245255,654
6.508103311061859,0.07604222056537538,2.3412429094314575,0.12787950072159085,mae,850,800,10,0.032,0.3,"{'objective': 'mae', 'num_leaves': 850, 'n_estimators': 800, 'max_depth': 10, 'learning_rate': 0.032, 'feature_fraction': 0.3}",0.8814892010780362,0.8911564131378165,0.8883376180808464,0.8909411897090472,0.8879811055014366,0.003908855374775377,341
1.9161274433135986,0.061090891668333154,0.11220061779022217,0.007068097033217602,mae,1050,100,-1,0.044,0.2,"{'objective': 'mae', 'num_leaves': 1050, 'n_estimators': 100, 'max_depth': -1, 'learning_rate': 0.044, 'feature_fraction': 0.2}",0.8548399056296382,0.8635560227674052,0.8586164879486855,0.8627430133805863,0.8599388574315788,0.0034890953763425285,728
9.084715008735657,0.15365808522258181,1.1449432969093323,0.1697810467713418,mape,650,1150,6,0.04,0.7,"{'objective': 'mape', 'num_leaves': 650, 'n_estimators': 1150, 'max_depth': 6, 'learning_rate': 0.04, 'feature_fraction': 0.7}",0.8671498492951224,0.8827908494478776,0.8786419336335519,0.8829104443790298,0.8778732691888954,0.006425307555796102,535
7.108494400978088,0.058971211064830845,0.7006338238716125,0.10432084030870731,mape,1250,300,-1,0.006,0.3,"{'objective': 'mape', 'num_leaves': 1250, 'n_estimators': 300, 'max_depth': -1, 'learning_rate': 0.006, 'feature_fraction': 0.3}",0.7805483097469192,0.7793490688141718,0.7754416514485591,0.7775499202489486,0.7782222375646497,0.001927694878865344,959
17.804152250289917,0.1923744424146118,2.808993875980377,0.3461094490897312,mape,1050,850,12,0.026,0.8,"{'objective': 'mape', 'num_leaves': 1050, 'n_estimators': 850, 'max_depth': 12, 'learning_rate': 0.026, 'feature_fraction': 0.8}",0.8877000461387166,0.8978361716605299,0.8941117530594836,0.8962579851849427,0.8939764890109182,0.0038572790422345296,238
3.1637892723083496,0.12390962548024592,0.29745638370513916,0.04028676596402298,mae,450,250,10,0.03,0.4,"{'objective': 'mae', 'num_leaves': 450, 'n_estimators': 250, 'max_depth': 10, 'learning_rate': 0.03, 'feature_fraction': 0.4}",0.8793890621114145,0.8909138015659529,0.8861655186364162,0.8889438004304973,0.8863530456860702,0.004360181703899553,380
12.588339388370514,0.357313208928569,1.1451873779296875,0.1892819400269316,mape,350,550,12,0.03,0.8,"{'objective': 'mape', 'num_leaves': 350, 'n_estimators': 550, 'max_depth': 12, 'learning_rate': 0.03, 'feature_fraction': 0.8}",0.8864017570776466,0.8963230991817168,0.8908617645819801,0.8956135998564562,0.8923000551744499,0.004000720613564489,265
17.96397739648819,0.4738761373825666,2.5367188453674316,0.22270352790074563,mape,950,1450,8,0.02,0.9,"{'objective': 'mape', 'num_leaves': 950, 'n_estimators': 1450, 'max_depth': 8, 'learning_rate': 0.02, 'feature_fraction': 0.9}",0.8768294744962953,0.886385714267921,0.8829237191118084,0.8871577949679406,0.8833241757109913,0.004074652264268136,440
3.0291484594345093,0.047826496218256555,0.2401100993156433,0.009041164981234369,mape,650,400,6,0.048,0.3,"{'objective': 'mape', 'num_leaves': 650, 'n_estimators': 400, 'max_depth': 6, 'learning_rate': 0.048, 'feature_fraction': 0.3}",0.8595001746134892,0.8740586660140903,0.8706979021210653,0.8748218054247832,0.869769637043357,0.006128697037687376,641
10.307698845863342,0.4494772226869953,0.9040801525115967,0.11207803636255786,mae,1300,550,11,0.03,0.8,"{'objective': 'mae', 'num_leaves': 1300, 'n_estimators': 550, 'max_depth': 11, 'learning_rate': 0.03, 'feature_fraction': 0.8}",0.8887795085682053,0.900159614618587,0.8932735395332103,0.897778046277997,0.8949976772494999,0.004359309634298997,211
